Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps,x0,f(x0),f'(x0),f''(x0),kappa
P_588f3bf3c82bd05e,36654.6,0.000437801,12,0.00031279,12,285.92249174758,6949.2243187676495,-363.74770520412017,21.584259205863116,0
P_45c1bd926bea83d3,6665.76,0.00226583,66,0.00248705,70,-0.10766699113914768,-1.449785210042845,4.105662458174044,1.996427570532395,0
P_3d3172ce9768f7ff,2916.67,0.000315773,8,0.000303065,8,9.070911987654561,33849.452308241904,14927.294968851436,4936.899815474424,0
P_1329ea087d6e0b97,0.0660086,0.000302093,6,0.000670374,6,2.5777522841346308,0.12259895107688784,0.02364232427305093,-0.3881999459441242,-25
P_4d5273c59b2d9768,-3.95343,0.000263096,6,0.000223346,6,4.616123939024709,-2.8529924178731925,0.32692840159446984,-0.03746318395363698,0
P_582ba632776f0cb9,41.5278,0.000264575,7,0.000195871,6,50.292165623936754,43.5299871314279,0.11839420573114103,-0.007514188707898902,-1
P_5ea0998d17ad6fe8,0.0771755,0.000250451,5,0.00133568,5,-5.45790514005332,-1.1478889124217706,11.630790148386472,-3.7313985707079143,0
P_4299dd0fb13581f9,-217.944,0.00032983,6,0.000315943,6,7.8085047726788375,-433.3749308395582,-166.15024048555762,-28.451793033335576,0
P_62ec84005831faf4,-1.55455,0.000276149,5,0.000243624,5,0.03912442860729293,-10.009056265320643,443.93503888285755,3327.648966540646,0
P_53a1b953ad54c111,-7500.0,0.000346238,7,0.000763307,7,2.99002247570008,-37070.34283802192,-75242.59111754679,-123175.10121883209,0
P_338e8a442fc6b355,31.4018,0.000232568,6,0.000186397,6,14.828640407757462,14.105177750239939,0.5352227104010592,-0.0048930132218376774,0
P_26aaa5da622880bc,35.4413,0.000959587,29,0.000274783,9,38.60630513359588,43.89716443054775,0.04359703218405083,-0.0054742072931315035,-3
P_49d5322b2f79676d,10000.0,0.000351232,8,0.000504537,8,-7.788940124765553,-2586.212556489036,908.5216845632701,-222.63393029893592,0
P_155c32f4ae9512d2,96.5258,0.000232227,6,0.000390492,15,1385.0986781783129,138.4280217144959,0.01106450020295874,-2.7961789049230582e-05,0
P_7ba54870f9955a44,-0.69623,0.000284071,7,0.000417403,5,1.5849438368781303,-0.19541193600413548,0.31493670707936483,-0.4491820941973994,-5
P_6cc10a1afeed7f20,2158.83,0.000321727,6,0.000309515,6,-8.586851259873182,2571.5692183462306,5834.9001589980235,-17341.824734312384,0
P_11fa00850be3f21d,830.303,0.000314659,7,0.000287463,7,1.5831934093292865,3265.3045509237,17666.97401382627,85028.0562452008,0
P_7f22a699008cf2ce,-8333.6,0.00182439,51,0.00039239,12,-0.8439233091279341,-1.9573240846011897,8.505735035905879,-80.99211428706293,-1
P_6988dee1334a79b2,-2.09265,0.000209277,5,0.000462869,5,3.676158099505317,-2.8911956908023035,-3.5623213882346723,1.249073897994796,0
